gid,cluster,source_id,known_member,Gamma,ra,dec,pmra,pmdec,G,bp_rp,Y_index
1,cluster 1,4732508331843172864,ReticulumII,172.70862994776746,53.76426437847108,-54.062870563655736,2.177731712064916,-1.2711494422889937,19.46593475341797,0.9049816131591797,3475
1,cluster 1,4732507541569184896,ReticulumII,172.2574151650477,53.91426089840217,-54.065906231682554,2.0576151087725214,-1.4686301439705334,20.666746139526367,0.4218101501464844,137
1,cluster 1,4732553270085178240,ReticulumII,163.15755752938654,53.652977351964225,-54.11248208374564,2.283768455154785,-1.5009953086104346,18.363422393798828,1.0029335021972656,4122
1,cluster 1,4732601820394909696,ReticulumII,162.52809826126716,53.93020037700649,-54.00462336192894,2.0375754159603443,-1.2589235492875681,20.240528106689453,0.7095680236816406,1455
1,cluster 1,4732508293187715712,ReticulumII,162.24103793583822,53.81059001854791,-54.04252961991467,2.498344090030156,-0.9039942972905364,19.98278045654297,0.8598060607910156,965
1,cluster 1,4732598315701565824,ReticulumII,161.192631883357,54.00741171029199,-54.06817681627181,2.177718700220163,-1.2124009721072215,19.140844345092773,0.9120140075683594,3620
1,cluster 1,4732598796737918080,ReticulumII,159.1790373013369,54.087845223074325,-54.030541203362056,2.813860780258519,-1.1031092327910847,19.66376495361328,0.7969818115234375,2474
1,cluster 1,4732602507589704320,ReticulumII,157.705889697406,53.98812375522438,-53.92863037080858,2.1562086796824893,-1.185499576152896,20.053407669067383,0.8404197692871094,1746
1,cluster 1,4732507880870855168,ReticulumII,154.39753608637565,53.854068434697844,-54.04185000280105,2.4261503964586337,-0.8348061551523849,19.22871971130371,0.9414443969726562,1432
1,cluster 1,4732506403402014976,,152.61135721568434,53.73976286590905,-54.140024959332926,2.5143022437821316,-1.9423491358972904,20.5295352935791,1.4920330047607422,3393
1,cluster 1,4732597907680257024,,151.71368398179078,54.14233817047451,-54.03938991159818,2.442035603626785,-1.4204868820125853,20.07415199279785,1.9312019348144531,3488
1,cluster 1,4732507232331543424,,148.75611451299946,53.82424698445698,-54.11108733809343,2.0232133413192117,-1.238756213243777,16.877147674560547,0.3959980010986328,497
1,cluster 1,4732488300116130432,,146.81289425763208,53.98632774730348,-54.3715818755318,2.5571606954509383,-1.3866767895397645,19.807750701904297,0.5872306823730469,1888
1,cluster 1,4732603748836605824,ReticulumII,144.00545867323913,54.05300233885911,-53.933941875642425,2.1942636372617135,-1.2089511004374618,18.128820419311523,0.13759422302246094,1520
1,cluster 1,4732600514724860928,ReticulumII,141.61228630603028,54.11534188819804,-53.97395817023063,2.3351522845891193,-1.2876264280315377,16.413347244262695,1.3175411224365234,1058
1,cluster 1,4732602610668896512,,140.23758363975668,53.8743741133153,-53.99577266182695,2.2067087566045855,-0.7983093766183305,20.550174713134766,1.317636489868164,1235
1,cluster 1,4732659853993137152,,139.50674034961838,53.917012407513496,-53.68729072077592,2.2807206607397013,-1.2615137063939543,18.8587646484375,0.6589069366455078,2341
1,cluster 1,4732507335410818688,ReticulumII,135.34011578485607,53.820359691194824,-54.08959247277729,1.8864988545373877,-1.7712553151846158,20.300573348999023,0.7787151336669922,498
1,cluster 1,4732599587011904256,ReticulumII,133.90984186812696,54.14915942195858,-54.02226340610876,2.316500346201182,-1.3712148824056476,19.775917053222656,0.8428401947021484,4130
1,cluster 1,4732505857942080896,,130.56197414769505,53.69298518170485,-54.17860404497098,2.943379021570856,-1.3532909810469618,15.900535583496094,0.9132347106933594,3609
1,cluster 1,4732597834665231360,ReticulumII,124.33510142406581,54.16402906850797,-54.0556128426662,2.433536114016082,-1.049712878948342,20.36013412475586,0.8352603912353516,2473
1,cluster 1,4732503624558530176,,123.47522890382437,54.02326067135059,-54.10180880381476,2.733791578742855,-2.0324599450978695,20.868432998657227,2.076475143432617,2310
1,cluster 1,4732605771764891264,,122.22611239589851,54.0109841339265,-53.802751661361995,2.9920580960229155,-1.659058468726859,18.919551849365234,0.8210906982421875,1458
1,cluster 1,4732597662866529536,ReticulumII,120.5703756140443,54.1230906511809,-54.089135982632676,2.9019584121371578,-1.64465442771952,20.34154510498047,0.5389175415039062,1103
1,cluster 1,4732508572361340288,ReticulumII,116.98132842342129,53.76202750224428,-54.01938711680133,3.114652653825059,-1.1407080371513707,20.018585205078125,0.7048873901367188,4196
1,cluster 1,4732601201919653504,ReticulumII,113.27780139312141,54.17942649979309,-53.89820810061088,2.152617459537727,-1.4877136914939633,19.6051025390625,0.845245361328125,2229
